,帖子内容,发布时间
10,扬州市长书记人民政府扬州市中级法院包庇村霸的保护伞扬州法院法官伪造证据扬州人民盼红军锄奸两干部流出不雅视频被停职扬州新闻扬州市长洁柔直播间输错价格亏损千万」「扬州市中级法院包庇村霸的保护伞」「扬州的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州旅游」「扬州新闻」「微博」「法官说法」「扬州新闻」扬州市邗江区农业农村局长房惠柏保护伞是合法的20》O网页链接》O网页链接n/A6OeL9PW,2023-10-08 05:45
11,@扬州市长扬州市中级法院包庇村霸的保护伞扬州法院法官伪造证据扬州人民盼红军锄奸「扬州的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州旅游」「扬州新闻」「微博」「法官说法」「扬州新闻」扬州市邗江区农业农村局长房惠柏保护伞是合法的2020年11月》网页链接》@扬州市长「扬州的保护伞是合法的」「扬州市》网页链接》》O网页链接,2023-10-08 05:28
12,扬州市长书记人民政府扬州市邗江区长书记政府王庆伟被告邗江区长王庆伟被告方巷镇长曹明明被告扬州市邗江区农业农村局长房惠柏村霸保护伞是合法的《顶起来，曝光扬州》O网页链接,2023-10-13 18:25
13,扬州市邗江区长书记政府王庆伟被告扬州市长书记人民政府扬州市政府邗江区长王庆伟被告方巷镇长曹明明被告扬州市邗江区农业农村局长房惠柏村霸保护伞是合法的《顶起来，曝光扬州市副》》http》ht》O网页链接,2023-10-08 03:49
14,「扬州市长书记人民政府」「扬州市中级法院包庇村霸的保护伞」「医药反腐风暴来袭」「西安巨响」「许家印」「扬州新闻」网页链接扬州市长洁柔直播间输错价格亏损千万」「扬州市中级法院包庇村霸的保护伞」「扬州的保护伞是合法的」「扬州市邗江区农业农》网页链接》「扬州市长书记人民政府」「,2023-10-14 16:56
15,扬州市邗江区长书记政府王庆伟被告方巷镇长曹明明被告扬州市邗江区长书记方巷镇长村霸扬州市长书记人民政府医药反腐风暴来袭邗江区长王庆伟被告扬州新闻扬州大学遇见美好鹿晗L明镜十高悬的微博视频,2023-08-21 18:52
16,【中方呼吁巴以冲突方立即实现人道休战】当地时间30日下午，联合国安理会应中国和阿联酋的要求召开巴以局势紧急公开会。会上，中方对巴以冲突提出4个郑重呼吁：①中方郑重呼吁冲突方停止一切敌对行动，立即脱离接触，实现人道休战，全力防止局势进一步升级。②中方郑重呼吁以色列作为占领方履行国际人道法义务，解除对加沙的全面封锁，立即撤销紧急疏散令，尽快恢复基本生存物资供应，防止更大规模人道灾难。③中方郑重呼吁加大外交努力，推动被扣押人员尽快获释，并争取由此开辟对话空间，让危机重回政治解决轨道。④中方郑重呼吁对当事方有独特影响的大国，摒弃自身私利和地缘政治考量，为制止战争、恢复和平作出一切努力。中国常驻联合国代表张军表示，如果没有全面停火，再多的人道援助都是杯水车薪。“加沙民众需要的，不只是安理会重申国际人道法的重要性，重复无法兑现的保护承诺，而是恢复和平、维护法治、拯救生命的切实行动。”“此时此刻，沉默意味着默许，不作为无异于开绿灯。全世界的目光正望向这里，历史将记录我们的选择。”@CCTV国际时讯LCCTV国际时讯的微博视频,2023-10-31 11:14
17,毽客视线哈🐴斯高层住在卡塔尔，每月从🇮🇷领取2千万美津的生活费，过着穷奢极欲的上流社会生活。每隔一段时间，就要打电话给加沙的哈🐴斯底层屌丝，干一票，刷业绩。加沙地带300万人，不种地，不做工，高楼林立，生活富裕。由🇮🇱无偿供水供电，每月领取800美津的生活费。折合软妹币5800多元，比印度6亿农村和8亿城镇居民平均收入高。统计数据2022年城镇居民平均工资5千多元，低于哈🐴斯。并且哈🐴斯小孩一出生就可以领800美金，所以他们拼命繁殖，300万人口有一半是儿童。他们拿钱只做三件事:生娃，买武器，图啥犹太人。还有卖惨博同情。巴以冲突L毽客逆风飞扬的微博视频,2023-10-24 07:47
18,扬州市邗江区长书记政府王庆伟被告方巷镇长曹明明被告邗江区长王庆伟被告扬州市邗江区长书记方巷镇长村霸扬州新闻扬州市长书记人民政府扬州医药反腐风暴来袭医药反腐鹿晗王源央视七夕晚会扬州大学O网页链接L明镜十高悬的微博视频,2023-09-04 06:48
19,扬州市邗江区长书记政府王庆伟被告方巷镇长曹明明被告邗江区长王庆伟被告扬州市邗江区长书记方巷镇长村霸扬州新闻扬州市长书记人民政府扬州医药反腐鹿晗王源央视七夕晚会扬州大学李佳琦哭着道歉O网页链接L明镜十高悬的微博视频,2023-09-17 22:59
20,巴勒斯坦驻华大使：“你不懂这种痛苦，因为你出生在自由独立的国家”。L台湾那点事儿的微博视频,2023-10-28 20:29
21,张作霖是军阀，杜月笙最多算个黑社会！小混混和军队怎么比？,2023-10-19 08:50
22,【以色列不少农田已成军事集结点】当地时间20日，总台记者在巴以冲突前线观察到，以色列不少农田已变成军事集结点，以军还在持续向前线运送武器装备，以色列推土机装特殊装甲抵御火箭弹。外界担忧，一旦以色列开始大规模地面军事打击行动，加沙地带的人道主义危机形势将会更加严重。（总台记者陈慧慧姚书博）L央视新闻的微博视频,2023-10-20 22:55
23,巴以冲突(上)|【双视角】一口气看完巴勒斯坦、以色列千年简史|整理巴以冲突渊源L青蛙刀圣1993的微博视频,2021-06-16 18:00
24,最近没人再阴阳什么“战狼外交”了吧？我们有理有节的维权都叫战狼的话，以色列一言不合就要求联合国秘书长辞职，这算什么？疯狗外交？以色列代表要求联合国秘书长不道歉便辞职,2023-10-26 08:26
25,秦川雁塔：从阿以冲突到巴以冲突L文学书单君的微博视频,2023-10-28 11:35
26,以色列炮轰埃及，一国打四国！巴以冲突升级新闻L海燕看天下的微博视频,2023-10-24 17:10
27,愿战争早日结束🙏🙏🙏L做个是非分明的人的微博视频,2023-10-29 14:31
28,加沙受伤的儿童伤心的哭了。L西江月如烟的微博视频,2023-10-30 18:04
29,15年前，俄罗斯对格鲁吉亚的血腥战争震惊了世界。侵略国仍占领格鲁吉亚20%的领土。俄罗斯并没有改变它的习惯。这一次是乌克兰。格鲁吉亚乌克兰俄罗斯乌克兰战争俄乌战争俄罗斯乌克兰,2023-08-09 22:34
30,城市战科教片：叙利亚耶尔穆克巴勒斯坦难民营之战俄罗斯安娜新闻通讯社拍摄片长15分钟在哈尔琴科带领下的安娜社摄制组，记录了这场2018年4月19日开始的战役，本视频为其中片段，相当精彩。视频中的叙利亚政府军应该是第四装甲师42旅。内行看门道，外行看热闹。看完的，门道热闹都说说吧L地球镜头A的微博视频,2021-04-25 12:33
31,巴以局势观察解读巴以冲突哈马斯发言人等60多人被以色列逮捕约旦河西岸地区是否会爆发和以色列的正面冲突？L李绍先观察的微博视频,2023-10-21 15:53
32,来听听石老师聊以色列，巴勒斯坦…..L安吉的小七的微博视频,2023-10-29 10:13
33,朱巴之战，安娜社叙战经典科教片节选城市巷战中坦克的运用与战术2013年8月，大马士革朱巴地区的战斗客观的说，叙利亚军队在叙战初期大马士革地区的城市作战中展现出来的战术战法，要比第一次车臣战争中俄军在格罗兹尼的表现要好得多。机翻字幕，能大概看懂。制作：安娜新闻社叙利亚拍摄团队----安德烈·菲拉托夫，瓦西里·帕夫洛夫，伊戈尔·纳德辛，维克多·库兹涅佐夫L地球镜头A的微博视频,2021-04-11 18:18
34,"在过去的1,400年里，我们见证了一些文化的发展。",2023-10-24 16:38
35,我们在北京以色列驻华大使馆点亮我们的国旗。为了我们的人民。为了我们所爱的人。🇮🇱以色列,2023-10-09 21:16
36,【致@法国驻华大使馆】这大使没学过国际史吧！不说历史上法国对亚非多少国家进行过殖民侵略？杀了多少无辜民众？就说最近几十年跟着美国这个恶棍，侵略伊拉克、阿富汗、利比亚、南联盟……对了，北约轰炸中国驻南联盟大使馆这笔血债，有法国的事吧？血债终要血来偿！请恭候着！,2022-11-22 22:58
37,昨晚在群里的一个小八卦。某47岁的大姐姐，杭州土著，自己大单位普通员，中产家庭的独生女，单身（从未结婚），目前处于积极结婚成家状态中。择偶要求中，除了有房有车有稳定工作这些基本条件以外，还有一个硬条件：最好未婚未育，如果是离异，必须没有孩子，她准备自己生孩子的。你们听着是不是觉得压根就不可能有这样的男的对不对，嘿，前几年还真给人找到了这么一个，有房有车未婚未育的公务员，人比较木讷，不抽烟不喝酒唯一爱好就是打麻将，大姐相处了一段时间觉得不合适，理由是对方没情趣。结果几年过去了，大姐姐看来看去发现还是这个好，托人带话想继续谈谈，然后就是没有然后了。目前全家人还在各种积极寻找合适的人选中。尊重每个人的坚持，但是我有一说一，现在这个年代，离婚也不是什么大不了的事情了，事实上，在目前的婚恋市场上，条件好的离异男，非常抢手，切不可因自己的一些执念，把自己的路走窄了。,2023-10-29 19:50
38,巴西开始防范日本移民，担忧引发类似巴以冲突那样的后果，不过日本人在巴西已有200万，买下的土地占巴西八分之一，恐怕已经晚了巴以冲突超5800人死亡L柏铭007的微博视频,2023-10-23 12:58
39,有一個為什麼-為什麼香港地區叫以巴衝突而大陸叫巴以衝突🤔️,2023-10-15 12:12
40,7年前的新闻……殖人傻事殖人迷惑行为,2023-10-23 23:26
41,站在文明世界一边？资本主义文明，从诞生之日起，就是带着原罪的。只是经过几百年的发展，那些手上沾满鲜血的强盗和资本家的后代们，换上了新衣，做起了新买卖，然后就开始以秩序维护者的身份来强调所谓的文明了。要求大家顺服西方人主导的不公正的世界秩序。这所谓的文明，其实不过是系统性野蛮的遮羞布罢了。马克思才是代表着西方世界的良心，所以毫不留情地指认了这种文明的嗜血本性。,2023-10-11 14:43
42,分享视频L扬州星空古时月2020的微博视频,2022-09-17 08:40
43,地图对比加沙有多惨地图对比：加沙被摧毁的有多严重？巴以冲突加沙地带L三维地图看世界的微博视频,2023-10-27 18:20
44,巴以冲突，石老师的这个角度很另类啊。L李铁柱之冠的微博视频,2023-10-20 08:35
45,焦点直击钟楚曦否认出轨日出东方红胜火：————歪果仁看中国神话！！！L醍醐正能量的微博视频,2023-10-27 10:39
46,【全能猪宝宝】这头猪太神奇啦！简直就是是狗和牛的结合体。它不仅像狗一样乖巧听话会看家护院，还能够像牛一样耕田犁地。看了这个视频，你还说猪笨吗？L津门玄竹的微博视频,2023-10-31 16:39
47,:微博爆料举报@东莞自然资源广东省东莞市横沥镇田饶步244号个人违法占地己时隔4年，占地8亩左右违反规划建多个铁皮厂房，己成窝案，@东莞城管仍以历史遗精为错口，违法未解除未合法下仍在居民居住的地方经营工厂，@东莞生态环境特办不需要环评，新的新噪声污染防治法没用，违法建筑又怎样过消防，一切保护伞杰作。@生态环境部@东莞检察@广东政法“苍蝇”虽小，但直面群众。与老百姓打交道时间最多，频率最高的，就是基层干部队伍。基层干部队伍的腐败正是群众身边的腐败，直接侵害到群众个人利益美丽居住环境@央广网@新华网@长安街知事,2022-10-23 09:55
48,我发表了头条文章:《12345不能变成浪费国家财政的部门》O12345不能变成浪费国家财政的部门,2023-08-26 02:04
49,佛州州长德桑蒂斯称中国是“俄乌冲突”和“巴以冲突”幕后要角，“中国维持了伊朗与俄罗斯的经济运转”L香港衛視HKS的微博视频,2023-10-29 23:01
50,B21B2轰炸机拉出来溜溜！美国新一代B21轰炸机首次公开L半只狐貍的微博视频,2022-12-03 10:05
51,【自制翻译】这是目前看到关于巴以冲突最好的演讲，掷地有声，字字珠玑。个人纯手打翻译，如有不对之处还请各位指正。巴以冲突巴勒斯坦以色列加沙L咕咕的嘀嘀咕咕的微博视频,2023-10-23 08:56
52,巴以冲突已经超过半个月，来回顾一下冲突当天我的预言，准不准？当天全是说以色列被虐的，是不是该出来认个错？你们是为以色列惨无人道炸加沙作舆论铺垫吧还要出个考题，谁还记得我第一段说的这次冲突的直接导火索？,2023-10-27 12:33
53,郑爽被判赔偿投资方6000万元.天外之音焦点直击亚运在身边兔子急了会咬人的！！！L微博动漫社的微博视频,2023-09-26 21:56
54,巴勒斯坦人的一生，命运的循环，希望世界和平～🙏加沙以军宣布扩大在加沙的地面行动规模巴以冲突L医疗音乐手绘君的微博视频,2023-10-28 08:31
55,这张地图是《国家地理》杂志于1947年发行，即犹太锡安主义者侵略巴勒斯坦之前一年，当时还没有“以色列”这样的东西。,2023-10-31 14:56
56,中方的发问振聋发聩：巴勒斯坦人的生存谁来关心？L伊朗驻华大使馆的微博视频,2023-10-14 13:17
57,70多年前，我们也有很多这样的“侯君”。,2023-10-18 19:36
58,扬州市中级法院包庇村霸的保护伞@扬州市长扬州市长书记人民政府扬州市中级法院包庇村霸的保护伞央视七夕晚会洁柔直播间输错价格亏损千万西安巨响「扬州的保》O网页链接,2023-10-02 05:14
59,第74届红白歌会主持人：有吉弘行、桥本环奈、滨边美波、高濑耕造今年的主题是：无边界(borderless)-超越连接的大年夜-2023年，随着新型冠状病毒的5类转移，没有限制的日常生活到来，与海外的交流也在恢复活力。娱乐和体育世界的繁盛让我们充满活力。但是另一方面，俄乌局势无法收敛，接连发生的自然灾害等，我们仍然生活在一个忐忑不安的时代。正因为是那样的“现在”，所以用“音乐的力量”可以做的事情...跨越国家、语言、世代，以“无边界”连接人与人共享感情。音乐中有那种力量。今年在红白传来的歌曲，一定会激励大家，给离开的家人带来安慰，让尚未见过的海外朋友微笑。电视播放开始70年，里程碑之年的除夕。为您带来最棒最幸运的现场娱乐！,2023-10-06 16:16
60,【钩沉】秦晖：阿以冲突的由来O秦晖：阿以冲突的由来,2023-10-15 15:31
61,分享视频L小风345的微博视频,2023-10-09 00:14
62,刷了好多条以色列和巴勒斯坦的战争新闻，想起大学时看的电影《辛特勒的名单》，此次的战争和我电影中看到的有天壤之别，恍惚间觉得电影存在美化之疑，特意搜了一下导演还真是犹太人，呵，时过境迁电影的讽刺意味也拉满了以色列巴勒斯坦冲突巴勒斯坦母亲吻别死去孩子,2023-10-28 10:16
