,Unnamed: 0,帖子内容,发布时间
11,561,"【瓦格納部隊因缺乏彈藥將於10日離開巴赫穆特】
當地時間5月5日，俄羅斯瓦格納雇傭兵集團創始人普里戈津表示，由於缺乏彈藥，瓦格納部隊將於10日離開巴赫穆特，巴赫穆特陣地將移交給俄羅斯國防部所屬部隊。
烏克蘭一個兵團發佈片段，展示烏軍在東部戰略重鎮巴赫穆特作戰，動用迫擊砲攻擊俄軍據點。烏克蘭副國防部長馬利亞爾警告，俄羅斯正從四面八方調動僱傭兵組織瓦格納集團更多武裝人員到巴赫穆特，爭取在9日，俄羅斯紀念二戰擊敗納粹德國的衛國戰爭紀念日前，全面控制當地。但普里戈津卻在5日突然宣佈，要在10日，從當地撤走，不再參與俄烏衝突。
普里戈津解釋，是因為欠缺多達七成彈藥，每日損兵折將以幾何級數增加。又批評俄羅斯防長紹伊古未有為瓦格納提供足夠支援。
#关注俄乌局势最新进展##俄罗斯##瓦格纳集团#",2023-05-06 17:57:26
12,612,我中学老师说巴以冲突，约旦河西岸那块地方也就海淀那么大//@次回的厄运:莫名想起我发小那个学校的英语老师曾经和他们讲，治疗艾滋病常用的疗法是鸡尾酒疗法，但是因为鸡尾酒太贵了所以外国很多人治不起。,2023-05-06 19:24:11
13,663,"在一次混乱的冲突中，以色列犹太人定居者从背后开枪射杀一名巴勒斯坦人。

#巴以冲突#  ",2023-05-07 13:48:54
14,714,#关注俄乌局势最新进展##巴以冲突##台海局势# 在不远的未来我们将会构建持久的和平使我们人类能保持长期的持续发展，这可谓历史发展的必然，只是不知道这种未来的发展是否建立在一片废墟之上，因而在此不停地呼吁人们来关注《美好的未来世界》。 ,2023-05-07 18:02:37
15,765,#关注俄乌局势最新进展##巴以冲突##苏丹##台海局势# @俄罗斯驻华大使馆 @美国驻华大使馆 @法国驻华大使馆 @以色列驻华使馆 希望诸位使馆工作人员能看到《美好的未来世界》，因为这篇文章是我们构建持久和平的唯一选择。  ,2023-05-08 16:27:04
16,816,"【外媒：1600多人已从扎波罗热核电站周围撤离】
 据路透社报道，俄罗斯控制的乌克兰扎波罗热地区的一名莫斯科任命的官员当地时间5月7日晚些时候称，大约1679人，包括660名儿童，已经从扎波罗热核电站附近地区撤离。

报道称，联合国核电监督机构负责人6日警告说，随着莫斯科任命的官员开始从附近地区疏散人员，该核电站周围的情况已变得“具有潜在危险”。

报道称，预计乌克兰将很快开始一场备受瞩目的反攻，以夺回俄罗斯控制的领土，包括在扎波罗热地区。

俄罗斯任命的扎波罗热地区行政机构负责人叶夫根尼·巴利茨基在其“电报”社交平台账号上说：“（撤离人员）已经被安置在别尔江斯克为扎波罗热地区前线居民设置的临时住宿中心。”

报道称，别尔江斯克是亚速海沿岸的乌克兰东南部港口城市，自2022年2月俄乌冲突爆发初期以来一直被俄罗斯占领。（编译/张琳）（参考消息）",2023-05-08 17:36:48
17,867,"#国际国内时事新闻[超话]#俄方宣布：上千人撤离#俄罗斯# 

据路透社报道，俄罗斯控制的扎波罗热地区的一名莫斯科任命的官员当地时间5月7日晚些时候称，大约1679人，包括660名儿童，已经从扎波罗热核电站附近地区撤离。

报道称，联合国核电监督机构负责人6日警告说，随着莫斯科任命的官员开始从附近地区疏散人员，该核电站周围的情况已变得“具有潜在危险”。

报道称，预计乌克兰将很快开始一场备受瞩目的反攻，以夺回俄罗斯控制的领土，包括在扎波罗热地区。

俄罗斯任命的扎波罗热地区行政机构负责人叶夫根尼·巴利茨基在其“电报”社交平台账号上说：“（撤离人员）已经被安置在别尔江斯克为扎波罗热地区前线居民设置的临时住宿中心。”

报道称，别尔江斯克是亚速海沿岸的港口城市，自2022年2月俄乌冲突爆发初期以来一直被俄罗斯占领。",2023-05-08 18:08:28
18,918,"【巴育：反对党将把泰国推入“冲突的黑洞”】看守首相巴育所属的泰国人团结建国党警告，声言要进行全面社会变革的反对党可能会将国家推入“冲突的黑洞”。

军方于2014年发动政变后，泰国近十年一直由军方势力执政。如今大选在即，泰国两大反对党——为泰党和前进党都以改革为旗帜展开竞选活动，前进党更是将“泰国会不一样”作为竞选口号。",2023-05-09 14:17:00
19,969,#关注俄乌局势最新进展##巴以冲突##苏丹##台海局势# 在很多人看来，自我们生命诞生之日起，我们就开始相互杀戮。这是一种错误的认识。事实上，在我们生命的绝大多数历程中，不同的人类族群之间普遍存在广泛的友善与互助，直到近1万年，我们才开始相互杀戮。我们对自身的了解远没有我们想象的那么完善。如果我们深入了解我们自身，我们就会发现我们生命全新的历史进程，进而发现生活中诸多人为祸患的根源，从而发现具体的方法根除这些人为的祸患，使我们物种保持长期的持续发展。详情请看《美好的未来世界》。,2023-05-09 15:17:32
20,1020,"以色列军队今天袭击了巴勒斯坦纳布卢斯，造成6名巴勒斯坦人受伤，袭击者在遭到抵抗后撤离。

#巴以冲突# ",2023-05-09 16:07:52
21,1071,"【#还原高铁掌掴事件完整过程#：双方互飙脏话】记者根据列车车厢监控、到场处置调解列车长记录仪、当事双方手机所拍视频，还原这起纠纷的始末，记者进行了如下梳理：

事发时间：2023年5月2日

事发地点：C6276次列车运行在眉山东站至成都东站之间，14号车厢内

5月2日19时59分，杨某某（女，即有小孩的一方）一行（其中儿童3人）从乐山站乘坐C6276次列车前往江油。

同日20时24分，王某某（女）从眉山东站乘坐C6276次列车前往成都，坐于杨某某前排的中间座位。

大约3分钟后，王某某起身制止后排儿童吵闹，继而与杨某某发生争吵。

视频可以看出，车厢内不少乘客听到吵闹声向两人望去。

另外视频可以看出，“东北大哥”坐在前面间隔三四排的左侧座位处。

视频中，双方争执开始不久，“东北大哥”在自己座位处站着观看，直到发生肢体冲突后，他来到了争执的座位处。

因孩子受到惊吓而哭泣。杨某某同行人首先辱骂了王某某，王某某遂以脏话反击。

几分钟后，列车安全员、列车长赶到现场进行劝阻。

根据列车长巡检仪视频，王某某用手机拍摄杨某某的随行儿童，称“小朋友长这个样子，你看啊，长这个样子。”杨某某阻挡对方，矛盾升级。杨女士情绪激动：这是小朋友，你在录他视频？

根据列车长巡检仪视频，王某某多次用脏话辱骂杨某某。双方发生如下对话：

杨某某同行男子：真是给成都人丢脸，晓得不。

王某某：老子不是成都的。

杨某某同行男子：你不配当成都人。

王某某：傻*。

杨某某：你再说句脏话。

王某某：傻*傻*傻*，骂的就是傻*。

杨某某：傻*才说这种话。

王某某：对呀，这才是傻*。

列车长巡检仪视频，此时，杨某某向王某某表示道歉，要求到餐车席去解决问题，王某某拒绝，并辱骂杨某某导致矛盾再次升级。

杨某某：我们小孩影响到了她，我现在给她道歉，对不起，我小孩影响到了你了。

王某某：来，我录像。

杨某某：不要录我，你有执法权吗？录我干什么？

王某某：录像是需要执法权吗？

杨某某：当然了，你破坏我肖像权。

王某某：就是录你，怎么样，在录你怎么样。

杨某某：录，我摔你手机。

王某某：摔，摔了要赔的。

列车工作人员：就不要录了，就不要用手机来录了，就说这个事情，大家都是出门在外，都是相互理解一下，然后这边就是做一个调解。

杨某某：我给她说，我小孩子刚才影响到了她，我跟她正式地道了歉。

列车工作人员：相互道歉可以吗？

王某某：我刚才道过了。

杨某某：对呀，给我小孩道歉呀，你作为一个成年人，请你给我小孩子道歉。

王某某：我刚才道过了呀。

杨某某：你什么时候道过的啊。

王某某：我刚才道过了，你自己没有听到。

杨某某：我当然没听到了。

王某某：没听到，关我*事。

杨某某同行女子：你能不能有点素质，我们已经给你道过歉了，如果小孩影响到你了，你怎么说话还带巴字，还带脏话呢你？

王某某：我刚才说什么脏话了？

杨某某同行女子：你当然说脏话了，这么多人都听见了。

杨某某：没关系，别当我小孩说，会给他有影响的，我们到前面去说，到你们到办公室去说。道歉。

列车工作人员：我们要不去吧台那吧。

王某某：这是我的位置，我不去，有本事就下车，然后告我，起诉我，咱们一起走司法程序，我ok的。

杨某某：我凭什么跟你走啊。

王某某：你不走就不走啊。

杨某某：你为什么不跟我走呀。

王某某：我凭什么要跟你走啊。

杨某某：那我凭什么跟你走啊。

王某某：傻*。

杨某某同行女子：你能不要再骂人吗？你怎么张口一个骂人，闭口一个傻*。

杨某某：你再说一遍。

王某某：傻*

列车长巡检仪视频显示，此时，因王某某辱骂杨某某，杨某某用右手手背挥打其面部一次。紧接着，王某某用左手还击杨某某面部一次。

之后双方再有争执，在列车长和周边旅客劝阻过程中，王某某第二次用右手掌掴杨某某面部一次。",2023-05-10 20:14:03
22,1122,"【#还原高铁掌掴事件完整过程#：双方互飙脏话】记者根据列车车厢监控、到场处置调解列车长记录仪、当事双方手机所拍视频，还原这起纠纷的始末，记者进行了如下梳理：

事发时间：2023年5月2日

事发地点：C6276次列车运行在眉山东站至成都东站之间，14号车厢内

5月2日19时59分，杨某某（女，即有小孩的一方）一行（其中儿童3人）从乐山站乘坐C6276次列车前往江油。

同日20时24分，王某某（女）从眉山东站乘坐C6276次列车前往成都，坐于杨某某前排的中间座位。

大约3分钟后，王某某起身制止后排儿童吵闹，继而与杨某某发生争吵。

视频可以看出，车厢内不少乘客听到吵闹声向两人望去。

另外视频可以看出，“东北大哥”坐在前面间隔三四排的左侧座位处。

视频中，双方争执开始不久，“东北大哥”在自己座位处站着观看，直到发生肢体冲突后，他来到了争执的座位处。

因孩子受到惊吓而哭泣。杨某某同行人首先辱骂了王某某，王某某遂以脏话反击。

几分钟后，列车安全员、列车长赶到现场进行劝阻。

根据列车长巡检仪视频，王某某用手机拍摄杨某某的随行儿童，称“小朋友长这个样子，你看啊，长这个样子。”杨某某阻挡对方，矛盾升级。杨女士情绪激动：这是小朋友，你在录他视频？

根据列车长巡检仪视频，王某某多次用脏话辱骂杨某某。双方发生如下对话：

杨某某同行男子：真是给成都人丢脸，晓得不。

王某某：老子不是成都的。

杨某某同行男子：你不配当成都人。

王某某：傻*。

杨某某：你再说句脏话。

王某某：傻*傻*傻*，骂的就是傻*。

杨某某：傻*才说这种话。

王某某：对呀，这才是傻*。

列车长巡检仪视频，此时，杨某某向王某某表示道歉，要求到餐车席去解决问题，王某某拒绝，并辱骂杨某某导致矛盾再次升级。

杨某某：我们小孩影响到了她，我现在给她道歉，对不起，我小孩影响到了你了。

王某某：来，我录像。

杨某某：不要录我，你有执法权吗？录我干什么？

王某某：录像是需要执法权吗？

杨某某：当然了，你破坏我肖像权。

王某某：就是录你，怎么样，在录你怎么样。

杨某某：录，我摔你手机。

王某某：摔，摔了要赔的。

列车工作人员：就不要录了，就不要用手机来录了，就说这个事情，大家都是出门在外，都是相互理解一下，然后这边就是做一个调解。

杨某某：我给她说，我小孩子刚才影响到了她，我跟她正式地道了歉。

列车工作人员：相互道歉可以吗？

王某某：我刚才道过了。

杨某某：对呀，给我小孩道歉呀，你作为一个成年人，请你给我小孩子道歉。

王某某：我刚才道过了呀。

杨某某：你什么时候道过的啊。

王某某：我刚才道过了，你自己没有听到。

杨某某：我当然没听到了。

王某某：没听到，关我*事。

杨某某同行女子：你能不能有点素质，我们已经给你道过歉了，如果小孩影响到你了，你怎么说话还带巴字，还带脏话呢你？

王某某：我刚才说什么脏话了？

杨某某同行女子：你当然说脏话了，这么多人都听见了。

杨某某：没关系，别当我小孩说，会给他有影响的，我们到前面去说，到你们到办公室去说。道歉。

列车工作人员：我们要不去吧台那吧。

王某某：这是我的位置，我不去，有本事就下车，然后告我，起诉我，咱们一起走司法程序，我ok的。

杨某某：我凭什么跟你走啊。

王某某：你不走就不走啊。

杨某某：你为什么不跟我走呀。

王某某：我凭什么要跟你走啊。

杨某某：那我凭什么跟你走啊。

王某某：傻*。

杨某某同行女子：你能不要再骂人吗？你怎么张口一个骂人，闭口一个傻*。

杨某某：你再说一遍。

王某某：傻*

列车长巡检仪视频显示，此时，因王某某辱骂杨某某，杨某某用右手手背挥打其面部一次。紧接着，王某某用左手还击杨某某面部一次。

之后双方再有争执，在列车长和周边旅客劝阻过程中，王某某第二次用右手掌掴杨某某面部一次。",2023-05-10 20:30:19
23,1173,"#成铁公安处通报高铁掌掴事件#

看了完整的视频，才发现铁路公安处的判罚一点问题都没有。

今天还有律师把这称为正当防卫，请问正当防卫有这样的条款吗？

两边都不是善茬，两边都该罚。中间互骂的过程很长，后面才是动手。先动手的罚500，列车长和工作人员劝阻时再次打人的罚200，罚的合情合理。

没有任何问题。

附：封面新闻整理的全过程对话

事发时间：2023年5月2日

事发地点：C6276次列车运行在眉山东站至成都东站之间，14号车厢内

5月2日19时59分，杨某某（女，即有小孩的一方）一行（其中儿童3人）从乐山站乘坐C6276次列车前往江油。

同日20时24分，王某某（女）从眉山东站乘坐C6276次列车前往成都，坐于杨某某前排的中间座位。

大约3分钟后，王某某起身制止后排儿童吵闹，继而与杨某某发生争吵。

视频可以看出，车厢内不少乘客听到吵闹声向两人望去。

另外视频可以看出，“东北大哥”坐在前面间隔三四排的左侧座位处。

视频中，双方争执开始不久，“东北大哥”在自己座位处站着观看，直到发生肢体冲突后，他来到了争执的座位处。

因孩子受到惊吓而哭泣。杨某某同行人首先辱骂了王某某，王某某遂以脏话反击。

几分钟后，列车安全员、列车长赶到现场进行劝阻。

根据列车长巡检仪视频，王某某用手机拍摄杨某某的随行儿童，称“小朋友长这个样子，你看啊，长这个样子。”杨某某阻挡对方，矛盾升级。杨女士情绪激动：这是小朋友，你在录他视频？

根据列车长巡检仪视频，王某某多次用脏话辱骂杨某某。双方发生如下对话：

杨某某同行男子：真是给成都人丢脸，晓得不。

王某某：老子不是成都的。

杨某某同行男子：你不配当成都人。

王某某：傻*。

杨某某：你再说句脏话。

王某某：傻*傻*傻*，骂的就是傻*。

杨某某：傻*才说这种话。

王某某：对呀，这才是傻*。

列车长巡检仪视频，此时，杨某某向王某某表示道歉，要求到餐车席去解决问题，王某某拒绝，并辱骂杨某某导致矛盾再次升级。

杨某某：我们小孩影响到了她，我现在给她道歉，对不起，我小孩影响到了你了。

王某某：来，我录像。

杨某某：不要录我，你有执法权吗？录我干什么？

王某某：录像是需要执法权吗？

杨某某：当然了，你破坏我肖像权。

王某某：就是录你，怎么样，在录你怎么样。

杨某某：录，我摔你手机。

王某某：摔，摔了要赔的。

列车工作人员：就不要录了，就不要用手机来录了，就说这个事情，大家都是出门在外，都是相互理解一下，然后这边就是做一个调解。

杨某某：我给她说，我小孩子刚才影响到了她，我跟她正式地道了歉。

列车工作人员：相互道歉可以吗？

王某某：我刚才道过了。

杨某某：对呀，给我小孩道歉呀，你作为一个成年人，请你给我小孩子道歉。

王某某：我刚才道过了呀。

杨某某：你什么时候道过的啊。

王某某：我刚才道过了，你自己没有听到。

杨某某：我当然没听到了。

王某某：没听到，关我*事。

杨某某同行女子：你能不能有点素质，我们已经给你道过歉了，如果小孩影响到你了，你怎么说话还带巴字，还带脏话呢你？

王某某：我刚才说什么脏话了？

杨某某同行女子：你当然说脏话了，这么多人都听见了。

杨某某：没关系，别当我小孩说，会给他有影响的，我们到前面去说，到你们到办公室去说。道歉。

列车工作人员：我们要不去吧台那吧。

王某某：这是我的位置，我不去，有本事就下车，然后告我，起诉我，咱们一起走司法程序，我ok的。

杨某某：我凭什么跟你走啊。

王某某：你不走就不走啊。

杨某某：你为什么不跟我走呀。

王某某：我凭什么要跟你走啊。

杨某某：那我凭什么跟你走啊。

王某某：傻*。

杨某某同行女子：你能不要再骂人吗？你怎么张口一个骂人，闭口一个傻*。

杨某某：你再说一遍。

王某某：傻*

列车长巡检仪视频显示，此时，因王某某辱骂杨某某，杨某某用右手手背挥打其面部一次。紧接着，王某某用左手还击杨某某面部一次。

之后双方再有争执，在列车长和周边旅客劝阻过程中，王某某第二次用右手掌掴杨某某面部一次。

#高铁掌掴事件双方曾多次对骂# 

",2023-05-10 20:37:33
24,1224,"【汪文斌：#中方支持对半岛电视台记者被射杀事件进行彻底调查#】“外交部发言人办公室”消息，在5月10日外交部例行记者会上，半岛电视台记者提问：一年前，我的同事、半岛电视台记者谢琳·阿布·阿克莱赫在巴勒斯坦被占领土采访时，被以色列军人射杀，这一悲剧至今没有得到公正处理，杀害记者的一方也没有受到惩罚。在谢琳被杀害一周年之际，中国外交部能否给我们一个关于保护记者的表态？我们和谢琳一样，只是常驻的国家不同而已。中方是否仍然记得她？发言人有什么想说的？
　　汪文斌：中方支持对此事进行彻底、透明、公平公正的调查，希望该事件得到依法、公正处理。
　　我还想强调的是，近期巴以冲突加剧，中方对此深感忧虑，敦促有关各方特别是以色列保持最大限度冷静克制，避免采取任何加剧局势紧张的行动，防止局势进一步扩大升级。#跟我看外交##与发言人相约蓝厅# @观察者网 ",2023-05-10 20:48:54
25,1275,#关注俄乌局势最新进展##巴以冲突##台海局势# 《美好的未来世界》是构建持久和平的唯一选择。对于这个言论当下没人相信，如同之前没人相信《日心说》。当然，最终《美好的未来世界》会像《日心说》一样，写入教科书，成为我们历史发展的重要里程碑。  ,2023-05-10 21:23:13
26,1326,"5 岁的巴勒斯坦男孩塔米姆·达乌德在加沙地区死于以色列空袭。

#巴以冲突# ",2023-05-10 22:22:19
27,1377,"五名以色列人在巴勒斯坦抵抗武装的火箭弹袭击中受伤。

#巴以冲突# ",2023-05-10 22:52:33
28,1428,中国商人亲历新一轮巴以冲突：空袭警报打断商务会谈  ,2023-05-11 22:09:05
29,1479,#关注俄乌局势最新进展##巴以冲突##台海局势# @美国驻华大使馆 @俄罗斯驻华大使馆 @以色列驻华使馆 都知道随着历史的发展我们的文明程度在逐渐提高我们的认知水平也在逐渐提高，那么未来的文明会是怎样？我们的认知将会怎样提高？说来简单，未来我们将对自身形成更为深入的了解，进而发现生活中诸多人为祸患的根源，从而发现具体的方法根治这些人为的祸患，构建持久的和平，使我们物种保持长期的持续发展。详情请看《美好的未来世界》。,2023-05-11 22:20:22
30,1530,#四问此轮巴以冲突# 是什么样的导火索引发了此轮的巴以冲突？冲突发生后，涉事双方如何表态？国际社会怎么看？局势如何走向？#关注巴以局势#  ,2023-05-11 22:39:01
31,1581,联合国对巴以冲突，乃至阿拉伯世界与以色列的冲突，确实付有相当大的责任，联合国长期偏袒以色列，甚至联合国的决议以色列都不执行，任其放纵，视联合国于无物，对阿拉伯国家百般欺凌，任由美以对阿拉伯国家肆意的进行轰炸侵略的行为，毫无作为，甚至还做助纣为虐的行为。。@伊朗驻华大使馆,2023-05-12 21:05:03
32,1632,#关注俄乌局势最新进展##巴以冲突##台海局势# 在我们生命的初始阶段，我们的生活并非如很多专业人士所描述的那样，以血缘杂乱的原始群形式混居，不仅时刻面对猛兽的威胁、经常处于饥饿状态，还频频发生近亲繁殖。事实上，在我们生命的初始阶段，我们以母系族群的形式生活在食物供给丰富的原始丛林，不仅没有猛兽的威胁，不同的族群之间还保持着高度的友善，使我们通过族外婚配的方式繁殖出优秀的个体。这种悠游自在的生活，随着丛林大火的发生出现了改变，继而一步步演变成今天的人类。不同的人群相互杀戮。如果我们明确我们生命的发展演变，我们就会知道如何走出当下的困境，开创新的文明。详情请看《美好的未来世界》。 ,2023-05-12 21:17:44
33,1683,#军事[超话]#以军持续空袭加沙地带#军事##军迷发烧友##巴以冲突##国际军事#  ,2023-05-12 21:40:34
34,1734,巴以冲突升级！遭507枚火箭弹袭击后，以空袭报复、造成百人伤亡 ,2023-05-12 21:53:25
35,1785,巴以冲突升级！遭507枚火箭弹袭击后，以空袭报复、造成百人伤亡 ,2023-05-12 21:59:06
